Team,Score,Overs,RPO,Inns,Result,Unnamed: 6,Opposition,Ground,Start Date,Unnamed: 10
Saudi Arabia,172/5,20.0,8.60,1,won,,v Maldives,Doha,28 Sep 2023,
Maldives,110/7,20.0,5.50,2,lost,,v Saudi Arabia,Doha,28 Sep 2023,
Cambodia,70,18.2,3.81,1,lost,,v Hong Kong,Hangzhou,29 Sep 2023,
Hong Kong,75/1,5.5,12.85,2,won,,v Cambodia,Hangzhou,29 Sep 2023,
Singapore,152/8,20.0,7.60,1,won,,v Thailand,Hangzhou,29 Sep 2023,
Thailand,53,15.3,3.41,2,lost,,v Singapore,Hangzhou,29 Sep 2023,
Maldives,100/7,20.0,5.00,1,lost,,v Kuwait,Doha,29 Sep 2023,
Kuwait,103/3,12.2,8.35,2,won,,v Maldives,Doha,29 Sep 2023,
Qatar,109,19.3,5.58,1,lost,,v Saudi Arabia,Doha,29 Sep 2023,
Saudi Arabia,110/6,19.4,5.59,2,won,,v Qatar,Doha,29 Sep 2023,
Estonia,149/6,20.0,7.45,1,lost,,v Gibraltar,Gibraltar,30 Sep 2023,
Gibraltar,151/8,19.5,7.61,2,won,,v Estonia,Gibraltar,30 Sep 2023,
Bermuda,181/9,20.0,9.05,1,won,,v Canada,Sandys Parish,30 Sep 2023,
Canada,95,17.0,5.58,2,lost,,v Bermuda,Sandys Parish,30 Sep 2023,
Gibraltar,159,19.1,8.29,1,lost,,v Estonia,Gibraltar,30 Sep 2023,
Estonia,160/2,16.2,9.79,2,won,,v Gibraltar,Gibraltar,30 Sep 2023,
Panama,85/8,20.0,4.25,1,lost,,v Cayman Is,Sandys Parish,30 Sep 2023,
Cayman Is,88/3,14.3,6.06,2,won,,v Panama,Sandys Parish,30 Sep 2023,
Nepal,212/7,20.0,10.60,1,won,,v Maldives,Hangzhou,1 Oct 2023,
Maldives,74,19.4,3.76,2,lost,,v Nepal,Hangzhou,1 Oct 2023,
Japan,127,19.0,6.68,1,lost,,v Hong Kong,Hangzhou,1 Oct 2023,
Hong Kong,133/5,18.5,7.06,2,won,,v Japan,Hangzhou,1 Oct 2023,
Maldives,121/9,20.0,6.05,1,lost,,v Qatar,Doha,1 Oct 2023,
Qatar,125/1,10.2,12.09,2,won,,v Maldives,Doha,1 Oct 2023,
Kuwait,174/9,20.0,8.70,1,lost,,v Saudi Arabia,Doha,1 Oct 2023,
Saudi Arabia,175/7,19.4,8.89,2,won,,v Kuwait,Doha,1 Oct 2023,
Panama,90/8,20.0,4.50,1,lost,,v Bermuda,Sandys Parish,1 Oct 2023,
Bermuda,91/3,13.5,6.57,2,won,,v Panama,Sandys Parish,1 Oct 2023,
Canada,194/6,20.0,9.70,1,won,,v Cayman Is,Sandys Parish,1 Oct 2023,
Cayman Is,86,17.1,5.00,2,lost,,v Canada,Sandys Parish,1 Oct 2023,
Malaysia,268/4,20.0,13.40,1,won,,v Thailand,Hangzhou,2 Oct 2023,
Thailand,74/9,20.0,3.70,2,lost,,v Malaysia,Hangzhou,2 Oct 2023,
Qatar,129/6,20.0,6.45,1,lost,,v Kuwait,Doha,2 Oct 2023,
Kuwait,130/5,16.1,8.04,2,won,,v Qatar,Doha,2 Oct 2023,
Maldives,76,18.2,4.14,1,lost,,v Saudi Arabia,Doha,2 Oct 2023,
Saudi Arabia,78/1,7.5,9.95,2,won,,v Maldives,Doha,2 Oct 2023,
India,202/4,20.0,10.10,1,won,,v Nepal,Hangzhou,3 Oct 2023,
Nepal,179/9,20.0,8.95,2,lost,,v India,Hangzhou,3 Oct 2023,
Pakistan,160,20.0,8.00,1,won,,v Hong Kong,Hangzhou,3 Oct 2023,
Hong Kong,92,18.5,4.88,2,lost,,v Pakistan,Hangzhou,3 Oct 2023,
Canada,230/4,20.0,11.50,1,won,,v Panama,Hamilton,3 Oct 2023,
Panama,67,17.5,3.75,2,lost,,v Canada,Hamilton,3 Oct 2023,
Bermuda,176/6,20.0,8.80,1,won,,v Cayman Is,Hamilton,3 Oct 2023,
Cayman Is,123/8,20.0,6.15,2,lost,,v Bermuda,Hamilton,3 Oct 2023,
Afghanistan,116,18.3,6.27,1,won,,v Sri Lanka,Hangzhou,4 Oct 2023,
Sri Lanka,108,19.1,5.63,2,lost,,v Afghanistan,Hangzhou,4 Oct 2023,
Bangladesh,116/5,20.0,5.80,1,won,,v Malaysia,Hangzhou,4 Oct 2023,
Malaysia,114/8,20.0,5.70,2,lost,,v Bangladesh,Hangzhou,4 Oct 2023,
Maldives,83/6,20.0,4.15,1,lost,,v Kuwait,Doha,4 Oct 2023,
Kuwait,84/2,7.5,10.72,2,won,,v Maldives,Doha,4 Oct 2023,
Nigeria,127/8,20.0,6.35,1,won,,v Rwanda,Lagos,4 Oct 2023,
Rwanda,73,18.1,4.01,2,lost,,v Nigeria,Lagos,4 Oct 2023,
Qatar,168/3,20.0,8.40,1,lost,,v Saudi Arabia,Doha,4 Oct 2023,
Saudi Arabia,170/3,18.3,9.18,2,won,,v Qatar,Doha,4 Oct 2023,
Canada,196/5,20.0,9.80,1,won,,v Cayman Is,Hamilton,4 Oct 2023,
Cayman Is,30,11.3,2.60,2,lost,,v Canada,Hamilton,4 Oct 2023,
Sierra Leone,95/9,20.0,4.75,1,lost,,v Ghana,Lagos,4 Oct 2023,
Ghana,96/7,17.2,5.53,2,won,,v Sierra Leone,Lagos,4 Oct 2023,
Panama,86/9,20.0,4.30,1,lost,,v Bermuda,Hamilton,4 Oct 2023,
Bermuda,89/5,9.1,9.70,2,won,,v Panama,Hamilton,4 Oct 2023,
Qatar,201/7,20.0,10.05,1,won,,v Maldives,Doha,5 Oct 2023,
Maldives,159,17.2,9.17,2,lost,,v Qatar,Doha,5 Oct 2023,
Serbia,107/5,20.0,5.35,1,lost,,v Gibraltar,Gibraltar,5 Oct 2023,
Gibraltar,108/3,14.1,7.62,2,won,,v Serbia,Gibraltar,5 Oct 2023,
Nigeria,155/6,20.0,7.75,1,won,,v Sierra Leone,Lagos,5 Oct 2023,
Sierra Leone,92,18.5,4.88,2,lost,,v Nigeria,Lagos,5 Oct 2023,
Saudi Arabia,173/4,20.0,8.65,1,lost,,v Kuwait,Doha,5 Oct 2023,
Kuwait,175/6,18.2,9.54,2,won,,v Saudi Arabia,Doha,5 Oct 2023,
Serbia,82,18.5,4.35,1,lost,,v Gibraltar,Gibraltar,5 Oct 2023,
Gibraltar,83/3,14.0,5.92,2,won,,v Serbia,Gibraltar,5 Oct 2023,
Rwanda,121/7,20.0,6.05,1,tied,,v Ghana,Lagos,5 Oct 2023,
Ghana,121,20.0,6.05,2,tied,,v Rwanda,Lagos,5 Oct 2023,
Bangladesh,96/9,20.0,4.80,1,lost,,v India,Hangzhou,6 Oct 2023,
India,97/1,9.2,10.39,2,won,,v Bangladesh,Hangzhou,6 Oct 2023,
Pakistan,115,18.0,6.38,1,lost,,v Afghanistan,Hangzhou,6 Oct 2023,
Afghanistan,116/6,17.5,6.50,2,won,,v Pakistan,Hangzhou,6 Oct 2023,
Nigeria,129,19.3,6.61,1,won,,v Ghana,Lagos,6 Oct 2023,
Ghana,94,18.0,5.22,2,lost,,v Nigeria,Lagos,6 Oct 2023,
Rwanda,154/8,20.0,7.70,1,won,,v Sierra Leone,Lagos,6 Oct 2023,
Sierra Leone,121/5,20.0,6.05,2,lost,,v Rwanda,Lagos,6 Oct 2023,
Pakistan,48/1,5.0,9.60,1,lost,,v Bangladesh,Hangzhou,7 Oct 2023,
Bangladesh,65/4,5.0,13.00,2,won,,v Pakistan,Hangzhou,7 Oct 2023,
India,DNB,0.0,-,0,n/r,,v Afghanistan,Hangzhou,7 Oct 2023,
Afghanistan,112/5,18.2,6.10,1,n/r,,v India,Hangzhou,7 Oct 2023,
Rwanda,95/9,18.0,5.27,1,lost,,v Nigeria,Lagos,7 Oct 2023,
Nigeria,101/4,16.2,6.18,2,won,,v Rwanda,Lagos,7 Oct 2023,
Sierra Leone,110/7,20.0,5.50,1,lost,,v Ghana,Lagos,7 Oct 2023,
Ghana,111/2,16.5,6.59,2,won,,v Sierra Leone,Lagos,7 Oct 2023,
Canada,132/4,18.0,7.33,1,won,,v Bermuda,Hamilton,7 Oct 2023,
Bermuda,93,16.5,5.52,2,lost,,v Canada,Hamilton,7 Oct 2023,
Sierra Leone,49,14.5,3.30,1,lost,,v Nigeria,Lagos,8 Oct 2023,
Nigeria,50/1,7.1,6.97,2,won,,v Sierra Leone,Lagos,8 Oct 2023,
Rwanda,107/5,20.0,5.35,1,won,,v Ghana,Lagos,8 Oct 2023,
Ghana,60,15.3,3.87,2,lost,,v Rwanda,Lagos,8 Oct 2023,
Nigeria,142/6,20.0,7.10,1,won,,v Ghana,Lagos,10 Oct 2023,
Ghana,60,14.2,4.18,2,lost,,v Nigeria,Lagos,10 Oct 2023,
Sierra Leone,109,19.1,5.68,1,won,,v Rwanda,Lagos,10 Oct 2023,
Rwanda,107/8,20.0,5.35,2,lost,,v Sierra Leone,Lagos,10 Oct 2023,
Ghana,109/9,20.0,5.45,1,lost,,v Nigeria,Lagos,11 Oct 2023,
Nigeria,110/5,18.1,6.05,2,won,,v Ghana,Lagos,11 Oct 2023,
Sierra Leone,77,19.4,3.91,1,lost,,v Rwanda,Lagos,11 Oct 2023,
Rwanda,78/5,15.2,5.08,2,won,,v Sierra Leone,Lagos,11 Oct 2023,
Ghana,54,14.2,3.76,1,lost,,v Rwanda,Lagos,12 Oct 2023,
Rwanda,58/1,6.2,9.15,2,won,,v Ghana,Lagos,12 Oct 2023,
Nigeria,106,19.2,5.48,1,won,,v Sierra Leone,Lagos,12 Oct 2023,
Sierra Leone,53,15.4,3.38,2,lost,,v Nigeria,Lagos,12 Oct 2023,
Rwanda,24,6.1,3.89,1,lost,,v Nigeria,Lagos,14 Oct 2023,
Nigeria,27/2,6.1,4.37,2,won,,v Rwanda,Lagos,14 Oct 2023,
Ghana,112/9,20.0,5.60,1,won,,v Sierra Leone,Lagos,14 Oct 2023,
Sierra Leone,107/6,20.0,5.35,2,lost,,v Ghana,Lagos,14 Oct 2023,
Gibraltar,172/8,20.0,8.60,1,won,,v Luxembourg,Gibraltar,15 Oct 2023,
Luxembourg,148/8,20.0,7.40,2,lost,,v Gibraltar,Gibraltar,15 Oct 2023,
Ghana,72,18.1,3.96,1,lost,,v Sierra Leone,Lagos,15 Oct 2023,
Sierra Leone,73/4,18.0,4.05,2,won,,v Ghana,Lagos,15 Oct 2023,
Luxembourg,165,20.0,8.25,1,won,,v Gibraltar,Gibraltar,15 Oct 2023,
Gibraltar,154/8,20.0,7.70,2,lost,,v Luxembourg,Gibraltar,15 Oct 2023,
Nigeria,103/7,20.0,5.15,1,won,,v Rwanda,Lagos,15 Oct 2023,
Rwanda,86/8,20.0,4.30,2,lost,,v Nigeria,Lagos,15 Oct 2023,
U.A.E.,140/7,20.0,7.00,1,lost,,v Nepal,Mulpani,18 Oct 2023,
Nepal,144/3,18.5,7.64,2,won,,v U.A.E.,Mulpani,18 Oct 2023,
Chile,72/7,20.0,3.60,1,lost,,v Mexico,Buenos Aires,18 Oct 2023,
Mexico,74/5,13.2,5.55,2,won,,v Chile,Buenos Aires,18 Oct 2023,
Hong Kong,94,19.3,4.82,1,lost,,v Nepal,Mulpani,19 Oct 2023,
Nepal,99/4,13.5,7.15,2,won,,v Hong Kong,Mulpani,19 Oct 2023,
Mexico,124/6,20.0,6.20,1,lost,,v Argentina,Buenos Aires,19 Oct 2023,
Argentina,125/6,19.0,6.57,2,won,,v Mexico,Buenos Aires,19 Oct 2023,
Chile,52,19.4,2.64,1,lost,,v Argentina,Buenos Aires,20 Oct 2023,
Argentina,53/0,6.0,8.83,2,won,,v Chile,Buenos Aires,20 Oct 2023,
Nepal,213/6,20.0,10.65,1,won,,v Hong Kong,Mulpani,21 Oct 2023,
Hong Kong,134/8,20.0,6.70,2,lost,,v Nepal,Mulpani,21 Oct 2023,
Hong Kong,149/5,20.0,7.45,1,lost,,v U.A.E.,Mulpani,22 Oct 2023,
U.A.E.,153/4,18.0,8.50,2,won,,v Hong Kong,Mulpani,22 Oct 2023,
U.A.E.,164/7,20.0,8.20,1,lost,,v Nepal,Mulpani,23 Oct 2023,
Nepal,165/5,19.2,8.53,2,won,,v U.A.E.,Mulpani,23 Oct 2023,
Zimbabwe,121/9,20.0,6.05,1,lost,,v Namibia,Windhoek,24 Oct 2023,
Namibia,122/3,13.4,8.92,2,won,,v Zimbabwe,Windhoek,24 Oct 2023,
Hong Kong,212/3,20.0,10.60,1,won,,v U.A.E.,Mulpani,25 Oct 2023,
U.A.E.,143/5,20.0,7.15,2,lost,,v Hong Kong,Mulpani,25 Oct 2023,
Namibia,198/3,20.0,9.90,1,lost,,v Zimbabwe,Windhoek,25 Oct 2023,
Zimbabwe,200/5,20.0,10.00,2,won,,v Namibia,Windhoek,25 Oct 2023,
Nepal,162/8,20.0,8.10,1,lost,,v U.A.E.,Kirtipur,27 Oct 2023,
U.A.E.,167/6,19.5,8.42,2,won,,v Nepal,Kirtipur,27 Oct 2023,
Namibia,138/6,20.0,6.90,1,lost,,v Zimbabwe,Windhoek,27 Oct 2023,
Zimbabwe,144/4,18.4,7.71,2,won,,v Namibia,Windhoek,27 Oct 2023,
Zimbabwe,153/6,20.0,7.65,1,lost,,v Namibia,Windhoek,29 Oct 2023,
Namibia,154/3,18.4,8.25,2,won,,v Zimbabwe,Windhoek,29 Oct 2023,
Bahrain,135/6,20.0,6.75,1,lost,,v U.A.E.,Mulpani,30 Oct 2023,
U.A.E.,137/5,18.2,7.47,2,won,,v Bahrain,Mulpani,30 Oct 2023,
Singapore,145/9,20.0,7.25,1,lost,,v Nepal,Kirtipur,30 Oct 2023,
Nepal,147/2,16.3,8.90,2,won,,v Singapore,Kirtipur,30 Oct 2023,
Oman,153/6,20.0,7.65,1,won,,v Malaysia,Kirtipur,30 Oct 2023,
Malaysia,121/8,20.0,6.05,2,lost,,v Oman,Kirtipur,30 Oct 2023,
Hong Kong,166/6,20.0,8.30,1,won,,v Kuwait,Mulpani,30 Oct 2023,
Kuwait,150/8,20.0,7.50,2,lost,,v Hong Kong,Mulpani,30 Oct 2023,
Namibia,101,18.4,5.41,1,won,,v Zimbabwe,Windhoek,30 Oct 2023,
Zimbabwe,93,19.2,4.81,2,lost,,v Namibia,Windhoek,30 Oct 2023,
Oman,174/6,20.0,8.70,1,won,,v Singapore,Kirtipur,31 Oct 2023,
Singapore,152/8,20.0,7.60,2,lost,,v Oman,Kirtipur,31 Oct 2023,
Bahrain,146,19.3,7.48,1,won,,v Hong Kong,Mulpani,31 Oct 2023,
Hong Kong,126,19.1,6.57,2,lost,,v Bahrain,Mulpani,31 Oct 2023,
Malaysia,165/9,20.0,8.25,1,lost,,v Nepal,Kirtipur,31 Oct 2023,
Nepal,166/4,18.0,9.22,2,won,,v Malaysia,Kirtipur,31 Oct 2023,
Kuwait,88/8,20.0,4.40,1,lost,,v U.A.E.,Mulpani,31 Oct 2023,
U.A.E.,94/5,14.2,6.55,2,won,,v Kuwait,Mulpani,31 Oct 2023,
Oman,145/9,20.0,7.25,1,won,,v Nepal,Kirtipur,2 Nov 2023,
Nepal,140,20.0,7.00,2,lost,,v Oman,Kirtipur,2 Nov 2023,
U.A.E.,176/6,20.0,8.80,1,won,,v Hong Kong,Mulpani,2 Nov 2023,
Hong Kong,154/8,20.0,7.70,2,lost,,v U.A.E.,Mulpani,2 Nov 2023,
Malaysia,198/4,20.0,9.90,1,won,,v Singapore,Kirtipur,2 Nov 2023,
Singapore,138,17.5,7.73,2,lost,,v Malaysia,Kirtipur,2 Nov 2023,
Bahrain,158/9,20.0,7.90,1,lost,,v Kuwait,Mulpani,2 Nov 2023,
Kuwait,160/6,16.3,9.69,2,won,,v Bahrain,Mulpani,2 Nov 2023,
Bahrain,106/9,20.0,5.30,1,lost,,v Oman,Kirtipur,3 Nov 2023,
Oman,109/0,14.2,7.60,2,won,,v Bahrain,Kirtipur,3 Nov 2023,
U.A.E.,134/9,20.0,6.70,1,lost,,v Nepal,Mulpani,3 Nov 2023,
Nepal,135/2,17.1,7.86,2,won,,v U.A.E.,Mulpani,3 Nov 2023,
Nepal,184/6,20.0,9.20,1,tied,,v Oman,Kirtipur,5 Nov 2023,
Oman,184/9,20.0,9.20,2,tied,,v Nepal,Kirtipur,5 Nov 2023,
Cambodia,134/7,20.0,6.70,1,lost,,v Indonesia,Bali,20 Nov 2023,
Indonesia,136/3,17.4,7.69,2,won,,v Cambodia,Bali,20 Nov 2023,
Cambodia,138/8,20.0,6.90,1,lost,,v Indonesia,Bali,20 Nov 2023,
Indonesia,139/2,12.5,10.83,2,won,,v Cambodia,Bali,20 Nov 2023,
Indonesia,156/5,20.0,7.80,1,lost,,v Cambodia,Bali,21 Nov 2023,
Cambodia,157/2,18.2,8.56,2,won,,v Indonesia,Bali,21 Nov 2023,
Indonesia,192/7,20.0,9.60,1,won,,v Cambodia,Bali,21 Nov 2023,
Cambodia,88/8,20.0,4.40,2,lost,,v Indonesia,Bali,21 Nov 2023,
Indonesia,144/8,20.0,7.20,1,lost,,v Cambodia,Bali,22 Nov 2023,
Cambodia,148/3,19.3,7.58,2,won,,v Indonesia,Bali,22 Nov 2023,
Kenya,154/2,20.0,7.70,1,won,,v Rwanda,Windhoek,22 Nov 2023,
Rwanda,137/4,20.0,6.85,2,lost,,v Kenya,Windhoek,22 Nov 2023,
Tanzania,99/7,20.0,4.95,1,lost,,v Uganda,Windhoek,22 Nov 2023,
Uganda,105/2,15.2,6.84,2,won,,v Tanzania,Windhoek,22 Nov 2023,
Zimbabwe,132/8,20.0,6.60,1,lost,,v Namibia,Windhoek,22 Nov 2023,
Namibia,134/3,14.4,9.13,2,won,,v Zimbabwe,Windhoek,22 Nov 2023,
Indonesia,DNB,0.0,-,0,won,,v Cambodia,Bali,23 Nov 2023,
Cambodia,77/3,11.3,6.69,1,lost,,v Indonesia,Bali,23 Nov 2023,
Nigeria,121/7,20.0,6.05,1,lost,,v Kenya,Windhoek,23 Nov 2023,
Kenya,124/6,19.5,6.25,2,won,,v Nigeria,Windhoek,23 Nov 2023,
Tanzania,96/9,20.0,4.80,1,lost,,v Zimbabwe,Windhoek,23 Nov 2023,
Zimbabwe,98/1,10.4,9.18,2,won,,v Tanzania,Windhoek,23 Nov 2023,
Australia,208/3,20.0,10.40,1,lost,,v India,Visakhapatnam,23 Nov 2023,
India,209/8,19.5,10.53,2,won,,v Australia,Visakhapatnam,23 Nov 2023,
Rwanda,DNB,0.0,-,0,n/r,,v Nigeria,Windhoek,24 Nov 2023,
Nigeria,33/2,6.0,5.50,1,n/r,,v Rwanda,Windhoek,24 Nov 2023,
Uganda,114,19.4,5.79,1,lost,,v Namibia,Windhoek,24 Nov 2023,
Namibia,116/4,17.0,6.82,2,won,,v Uganda,Windhoek,24 Nov 2023,
Kenya,182/3,20.0,9.10,1,won,,v Tanzania,Windhoek,25 Nov 2023,
Tanzania,132,20.0,6.60,2,lost,,v Kenya,Windhoek,25 Nov 2023,
Namibia,207/3,20.0,10.35,1,won,,v Rwanda,Windhoek,25 Nov 2023,
Rwanda,46/5,10.0,4.60,2,lost,,v Namibia,Windhoek,25 Nov 2023,
Zimbabwe,136/7,20.0,6.80,1,lost,,v Uganda,Windhoek,26 Nov 2023,
Uganda,138/5,19.1,7.20,2,won,,v Zimbabwe,Windhoek,26 Nov 2023,
Tanzania,139/7,20.0,6.95,1,lost,,v Nigeria,Windhoek,26 Nov 2023,
Nigeria,140/7,18.4,7.50,2,won,,v Tanzania,Windhoek,26 Nov 2023,
India,235/4,20.0,11.75,1,won,,v Australia,Thiruvananthapuram,26 Nov 2023,
Australia,191/9,20.0,9.55,2,lost,,v India,Thiruvananthapuram,26 Nov 2023,
Kenya,104/6,20.0,5.20,1,lost,,v Namibia,Windhoek,27 Nov 2023,
Namibia,106/4,15.2,6.91,2,won,,v Kenya,Windhoek,27 Nov 2023,
Zimbabwe,215/4,20.0,10.75,1,won,,v Rwanda,Windhoek,27 Nov 2023,
Rwanda,71,18.4,3.80,2,lost,,v Zimbabwe,Windhoek,27 Nov 2023,
Nigeria,99,19.1,5.16,1,lost,,v Uganda,Windhoek,27 Nov 2023,
Uganda,100/1,17.3,5.71,2,won,,v Nigeria,Windhoek,27 Nov 2023,
Namibia,157/6,20.0,7.85,1,won,,v Tanzania,Windhoek,28 Nov 2023,
Tanzania,99/6,20.0,4.95,2,lost,,v Namibia,Windhoek,28 Nov 2023,
India,222/3,20.0,11.10,1,lost,,v Australia,Guwahati,28 Nov 2023,
Australia,225/5,20.0,11.25,2,won,,v India,Guwahati,28 Nov 2023,
Nigeria,110/8,20.0,5.50,1,lost,,v Zimbabwe,Windhoek,29 Nov 2023,
Zimbabwe,111/4,14.0,7.92,2,won,,v Nigeria,Windhoek,29 Nov 2023,
Tanzania,153/8,20.0,7.65,1,won,,v Rwanda,Windhoek,29 Nov 2023,
Rwanda,102/7,20.0,5.10,2,lost,,v Tanzania,Windhoek,29 Nov 2023,
Uganda,162/5,20.0,8.10,1,won,,v Kenya,Windhoek,29 Nov 2023,
Kenya,129,19.0,6.78,2,lost,,v Uganda,Windhoek,29 Nov 2023,
Zimbabwe,217/4,20.0,10.85,1,won,,v Kenya,Windhoek,30 Nov 2023,
Kenya,107/8,20.0,5.35,2,lost,,v Zimbabwe,Windhoek,30 Nov 2023,
Rwanda,65,18.5,3.45,1,lost,,v Uganda,Windhoek,30 Nov 2023,
Uganda,66/1,8.1,8.08,2,won,,v Rwanda,Windhoek,30 Nov 2023,
Nigeria,93,19.2,4.81,1,lost,,v Namibia,Windhoek,30 Nov 2023,
Namibia,96/2,13.2,7.20,2,won,,v Nigeria,Windhoek,30 Nov 2023,
India,174/9,20.0,8.70,1,won,,v Australia,Raipur,1 Dec 2023,
Australia,154/7,20.0,7.70,2,lost,,v India,Raipur,1 Dec 2023,
India,160/8,20.0,8.00,1,won,,v Australia,Bengaluru,3 Dec 2023,
Australia,154/8,20.0,7.70,2,lost,,v India,Bengaluru,3 Dec 2023,
Cameroon,48,16.2,2.93,1,lost,,v Kenya,Benoni,6 Dec 2023,
Kenya,50/0,3.1,15.78,2,won,,v Cameroon,Benoni,6 Dec 2023,
Cameroon,144/5,17.0,8.47,1,won,,v Mali,Benoni,7 Dec 2023,
Mali,112/8,17.0,6.58,2,lost,,v Cameroon,Benoni,7 Dec 2023,
Sierra Leone,88/6,20.0,4.40,1,lost,,v Kenya,Benoni,7 Dec 2023,
Kenya,89/2,14.3,6.13,2,won,,v Sierra Leone,Benoni,7 Dec 2023,
Ireland,147/8,20.0,7.35,1,lost,,v Zimbabwe,Harare,7 Dec 2023,
Zimbabwe,148/9,20.0,7.40,2,won,,v Ireland,Harare,7 Dec 2023,
Gambia,57,15.5,3.60,1,lost,,v Rwanda,Benoni,8 Dec 2023,
Rwanda,61/6,11.5,5.15,2,won,,v Gambia,Benoni,8 Dec 2023,
Mali,39,18.2,2.12,1,lost,,v Kenya,Benoni,8 Dec 2023,
Kenya,40/0,2.3,16.00,2,won,,v Mali,Benoni,8 Dec 2023,
Ghana,54,16.1,3.34,1,lost,,v Rwanda,Benoni,9 Dec 2023,
Rwanda,57/7,13.4,4.17,2,won,,v Ghana,Benoni,9 Dec 2023,
Zimbabwe,165/5,20.0,8.25,1,lost,,v Ireland,Harare,9 Dec 2023,
Ireland,166/6,19.4,8.44,2,won,,v Zimbabwe,Harare,9 Dec 2023,
Mali,37,14.0,2.64,1,lost,,v Sierra Leone,Benoni,9 Dec 2023,
Sierra Leone,41/2,2.5,14.47,2,won,,v Mali,Benoni,9 Dec 2023,
Ghana,185/3,20.0,9.25,1,won,,v Gambia,Benoni,10 Dec 2023,
Gambia,87/7,20.0,4.35,2,lost,,v Ghana,Benoni,10 Dec 2023,
Zimbabwe,140/6,20.0,7.00,1,lost,,v Ireland,Harare,10 Dec 2023,
Ireland,141/4,18.4,7.55,2,won,,v Zimbabwe,Harare,10 Dec 2023,
Cameroon,35,8.3,4.11,1,lost,,v Sierra Leone,Benoni,10 Dec 2023,
Sierra Leone,37/1,4.2,8.53,2,won,,v Cameroon,Benoni,10 Dec 2023,
Rwanda,115,20.0,5.75,1,won,,v Uganda,Benoni,11 Dec 2023,
Uganda,113,19.3,5.79,2,lost,,v Rwanda,Benoni,11 Dec 2023,
Botswana,153/6,20.0,7.65,1,won,,v Ghana,Benoni,11 Dec 2023,
Ghana,115,18.5,6.10,2,lost,,v Botswana,Benoni,11 Dec 2023,
Sierra Leone,80,18.1,4.40,1,lost,,v Kenya,Benoni,12 Dec 2023,
Kenya,81/2,7.4,10.56,2,won,,v Sierra Leone,Benoni,12 Dec 2023,
India,180/7,19.3,9.23,1,lost,,v South Africa,Gqeberha,12 Dec 2023,
South Africa,154/5,13.5,11.13,2,won,,v India,Gqeberha,12 Dec 2023,
England,171,19.3,8.76,1,lost,,v West Indies,Bridgetown,12 Dec 2023,
West Indies,172/6,18.1,9.46,2,won,,v England,Bridgetown,12 Dec 2023,
Malawi,91/5,20.0,4.55,1,lost,,v Uganda,Benoni,13 Dec 2023,
Uganda,92/3,12.3,7.36,2,won,,v Malawi,Benoni,13 Dec 2023,
Ghana,107/9,20.0,5.35,1,lost,,v Kenya,Benoni,13 Dec 2023,
Kenya,113/2,13.1,8.58,2,won,,v Ghana,Benoni,13 Dec 2023,
Mozambique,110/7,20.0,5.50,1,lost,,v Malawi,Benoni,14 Dec 2023,
Malawi,111/4,18.4,5.94,2,won,,v Mozambique,Benoni,14 Dec 2023,
India,201/7,20.0,10.05,1,won,,v South Africa,Johannesburg,14 Dec 2023,
South Africa,95,13.5,6.86,2,lost,,v India,Johannesburg,14 Dec 2023,
West Indies,176/7,20.0,8.80,1,won,,v England,St George's,14 Dec 2023,
England,166/7,20.0,8.30,2,lost,,v West Indies,St George's,14 Dec 2023,
Botswana,115/8,20.0,5.75,1,lost,,v Sierra Leone,Benoni,15 Dec 2023,
Sierra Leone,118/8,19.4,6.00,2,won,,v Botswana,Benoni,15 Dec 2023,
Uganda,149/8,20.0,7.45,1,won,,v Mozambique,Benoni,15 Dec 2023,
Mozambique,98,17.4,5.54,2,lost,,v Uganda,Benoni,15 Dec 2023,
Malawi,135/7,20.0,6.75,1,won,,v Rwanda,Benoni,16 Dec 2023,
Rwanda,89/9,20.0,4.45,2,lost,,v Malawi,Benoni,16 Dec 2023,
Kenya,131/9,20.0,6.55,1,won,,v Botswana,Benoni,16 Dec 2023,
Botswana,91/9,20.0,4.55,2,lost,,v Kenya,Benoni,16 Dec 2023,
West Indies,222/6,20.0,11.10,1,lost,,v England,St George's,16 Dec 2023,
England,226/3,19.5,11.39,2,won,,v West Indies,St George's,16 Dec 2023,
Rwanda,105/9,20.0,5.25,1,lost,,v Mozambique,Benoni,17 Dec 2023,
Mozambique,106/5,16.5,6.29,2,won,,v Rwanda,Benoni,17 Dec 2023,
Sierra Leone,111/6,20.0,5.55,1,lost,,v Ghana,Benoni,17 Dec 2023,
Ghana,112/8,19.4,5.69,2,won,,v Sierra Leone,Benoni,17 Dec 2023,
Botswana,62,20.0,3.10,1,lost,,v Uganda,Benoni,18 Dec 2023,
Uganda,65/0,5.2,12.18,2,won,,v Botswana,Benoni,18 Dec 2023,
Kenya,138/7,20.0,6.90,1,won,,v Malawi,Benoni,18 Dec 2023,
Malawi,39/2,5.0,7.80,2,lost,,v Kenya,Benoni,18 Dec 2023,
Malawi,103/8,20.0,5.15,1,lost,,v Botswana,Benoni,19 Dec 2023,
Botswana,107/7,20.0,5.35,2,won,,v Malawi,Benoni,19 Dec 2023,
Uganda,186/8,20.0,9.30,1,won,,v Kenya,Benoni,19 Dec 2023,
Kenya,95,15.4,6.06,2,lost,,v Uganda,Benoni,19 Dec 2023,
