Team,Score,Overs,RPO,Inns,Result,Unnamed: 6,Opposition,Ground,Start Date,Unnamed: 10
Belgium,168/9,20.0,8.40,2,lost,,v Germany,Krefeld,9 Jun 2023,
Botswana,169/2,20.0,8.45,1,won,,v Rwanda,Nairobi (Gym),10 Jun 2023,
Rwanda,136,19.5,6.85,2,lost,,v Botswana,Nairobi (Gym),10 Jun 2023,
Belgium,179/9,20.0,8.95,1,lost,,v Germany,Krefeld,10 Jun 2023,
Germany,181/5,18.2,9.87,2,won,,v Belgium,Krefeld,10 Jun 2023,
Kenya,185/3,20.0,9.25,1,won,,v Uganda,Nairobi (Gym),10 Jun 2023,
Uganda,97,14.1,6.84,2,lost,,v Kenya,Nairobi (Gym),10 Jun 2023,
Czech Rep.,128,19.4,6.50,1,won,,v Hungary,Vinor,10 Jun 2023,
Hungary,119/7,20.0,5.95,2,lost,,v Czech Rep.,Vinor,10 Jun 2023,
Belgium,164,19.4,8.33,1,lost,,v Germany,Krefeld,10 Jun 2023,
Germany,167/6,19.3,8.56,2,won,,v Belgium,Krefeld,10 Jun 2023,
Botswana,92/8,20.0,4.60,1,lost,,v Kenya,Nairobi (Gym),11 Jun 2023,
Kenya,98/2,10.1,9.63,2,won,,v Botswana,Nairobi (Gym),11 Jun 2023,
Czech Rep.,169/4,20.0,8.45,1,tied,,v Hungary,Vinor,11 Jun 2023,
Hungary,169,19.3,8.66,2,tied,,v Czech Rep.,Vinor,11 Jun 2023,
Belgium,148/9,20.0,7.40,1,lost,,v Germany,Krefeld,11 Jun 2023,
Germany,150/2,13.0,11.53,2,won,,v Belgium,Krefeld,11 Jun 2023,
Rwanda,81,18.1,4.45,1,lost,,v Uganda,Nairobi (Gym),11 Jun 2023,
Uganda,82/2,9.1,8.94,2,won,,v Rwanda,Nairobi (Gym),11 Jun 2023,
Hungary,138,19.5,6.95,1,lost,,v Czech Rep.,Vinor,11 Jun 2023,
Czech Rep.,139/7,18.1,7.65,2,won,,v Hungary,Vinor,11 Jun 2023,
Rwanda,158/9,20.0,7.90,1,won,,v Botswana,Nairobi (Gym),13 Jun 2023,
Botswana,131,18.4,7.01,2,lost,,v Rwanda,Nairobi (Gym),13 Jun 2023,
Uganda,175/7,20.0,8.75,1,won,,v Kenya,Nairobi (Gym),13 Jun 2023,
